月,实际品牌,产品,是否旗舰店,进入时间,销量(件),均价(元),匹数,机型,冷暖型和单冷型,新风功能,是否为省电型,滞后三期铜价,市场月活
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,29963,2499,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,25184,2464.1,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,华凌,华凌-华凌京东自营旗舰店,0,0,36902,1618.9,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,18510,2591.6,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,23330,1649,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,17739,2039.2,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,18380,1869.2,大 1 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,11213,2761.6,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,17218,1649,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,华凌,华凌-华凌京东自营旗舰店,0,0,8355,3236,正 3 匹,1,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,10848,2198.9,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,Tcl,Tcl-TCL京东自营旗舰店,0,0,14256,1599,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的半城山专卖店,0,0,224,99999,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,7814,2804.1,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,12506,1699.2,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,4242,4709,大 3 匹,1,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,2999,6458.9,正 3 匹,1,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米（MI）空调京东自营专卖店,0,0,11354,1699,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,2949,6098.4,正 3 匹,1,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,3885,4419.1,正 1 匹,1,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,6273,2294.1,大 1 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,2248,6204.1,正 3 匹,1,1,0,1,11790.96,591500000
202603,华凌,华凌-华凌京东自营旗舰店,0,0,5125,2499,大 1.5 匹,0,1,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,4300,2974.2,大 1.5 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,5172,2421.6,大 1 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,2242,5499,正 3 匹,1,1,0,1,11790.96,591500000
202603,华凌,华凌-华凌京东自营旗舰店,0,0,5630,2149,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,奥克斯 Aux,奥克斯 Aux-奥克斯空调京东自营旗舰店,0,0,7858,1444.2,大 1.5 匹,0,1,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,5293,1998.3,大 1 匹,0,1,0,1,11790.96,591500000
202603,Aufit,Aufit-京东家电自营旗舰店,0,0,6126,1599,大 1.5 匹,0,1,0,0,11790.96,591500000
202603,奥克斯 Aux,奥克斯 Aux-奥克斯空调京东自营旗舰店,0,0,2577,3756.1,大 3 匹,1,1,0,1,11790.96,591500000
202603,长虹 Changhong,长虹 Changhong-长虹空调京东自营旗舰店,0,0,6584,1448,大 1 匹,0,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,5960,1599,大 1 匹,0,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,2028,4699,正 3 匹,1,0,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,5033,1826.7,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,3655,2499,大 1.5 匹,0,0,0,1,11790.96,591500000
202603,奥克斯 Aux,奥克斯 Aux-奥克斯空调京东自营旗舰店,0,0,6085,1444.2,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,Tcl,Tcl-TCL京东自营旗舰店,0,0,5573,1549,大 1 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调京东自营旗舰店,0,0,3566,2198.1,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,长虹 Changhong,长虹 Changhong-长虹空调京东自营旗舰店,0,0,4754,1599,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,4013,1869.1,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-京东MALL自营旗舰店,0,0,2250,3299,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,2777,2591.6,大 1 匹,0,1,0,1,11790.96,591500000
202603,澳柯玛 Aucma,澳柯玛 Aucma-澳柯玛京东自营旗舰店,0,0,5115,1399,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,3239,2199,正 1.5 匹,0,0,0,1,11790.96,591500000
202603,Tcl,Tcl-TCL京东自营旗舰店,0,0,1895,3699,大 3 匹,1,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,1858,3484.2,正 3 匹,1,1,0,1,11790.96,591500000
202603,万宝 Wb,万宝 Wb-万宝空调京东自营旗舰店,0,0,5783,1098,大 1.5 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,1923,3288.7,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,2477,2549.1,大 1 匹,0,1,0,1,11790.96,591500000
202603,长虹 Changhong,长虹 Changhong-长虹空调京东自营旗舰店,0,0,2404,2599,大 2 匹,1,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-京东家电自营旗舰店,0,0,3272,1899,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,2474,2499,正 2 匹,0,1,0,1,11790.96,591500000
202603,创维 Skyworth,创维 Skyworth-创维空调京东自营旗舰店,1,2023/2/23,4417,1399,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,1361,4499,正 2 匹,1,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米官方旗舰店,0,0,3327,1799,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,Tcl,Tcl-TCL京东自营旗舰店,0,0,2983,1999,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,1166,5098.5,正 2 匹,1,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,2373,2379.2,正 1 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,1764,3198.5,正 1.5 匹,0,1,0,1,11790.96,591500000
